"Código do IBGE";"Código do Município";"Município";"Estado";"Ano de Referência";"Prestadores";"Serviços";"Natureza Jurídica";"POP_TOT - População total do município (Fonte: IBGE):";"POP_URB - População urbana do município (Fonte: IBGE)";"AG001 - População total atendida com abastecimento de água";"ES001 - População total atendida com esgotamento sanitário";"CO014 - População urbana atendida com serviço de coleta de RDO";"IN015_AE - Índice de coleta de esgoto";"IN016_AE - Índice de tratamento de esgoto";"IN024_AE - Índice de atendimento urbano de esgoto referido aos municípios atendidos com água"
2408003;240800;Mossoró;RN;2021;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24080040] DIRETORIA EXECUTIVA DE SERVIÇOS URBANOS - DESUR;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;303.792;277.397;284.049;156.375;;58,16;100,00;56,37;
2408003;240800;Mossoró;RN;2020;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24080040] DIRETORIA EXECUTIVA DE SERVIÇOS URBANOS - DESUR;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;300.618;274.499;289.808;154.790;;57,31;100,00;56,39;
2408003;240800;Mossoró;RN;2019;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24080040] DIRETORIA EXECUTIVA DE SERVIÇOS URBANOS - DESUR;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Administração pública direta;297.378;271.540;287.679;147.844;;56,45;100,00;54,33;
;240800;Mossoró;RN;2018;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24080040] DIRETORIA EXECUTIVA DE SERVIÇOS URBANOS - DESUR;Água e Esgoto | Res. Sólidos;;294.076;268.525;294.075;135.982;;51,78;100,00;50,64;
;240800;Mossoró;RN;2017;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24080040] SECRETARIA EXECUTIVA DE SERVIÇOS URBANOS - SEMSUR;Água e Esgoto | Res. Sólidos;;295.619;269.934;269.345;127.564;;44,16;100,00;47,10;
;240800;Mossoró;RN;2016;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24080040] SECRETARIA EXECUTIVA DE SERVIÇOS URBANOS - SEMSUR;Água e Esgoto | Res. Sólidos;;291.937;266.572;277.119;130.511;;42,83;100,00;48,96;
;240800;Mossoró;RN;2015;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24080040] SECRETARIA DE SERVIÇOS URBANOS - SEMSUR;Água e Esgoto | Res. Sólidos;;288.162;263.125;263.279;129.456;;42,80;100,00;49,20;
;240800;Mossoró;RN;2014;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24080040] SECRETARIA DE SERVIÇOS URBANOS - SEMSUR;Água e Esgoto | Res. Sólidos;;284.288;259.588;266.847;127.705;;40,29;100,00;49,20;
;240800;Mossoró;RN;2013;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24080040] SECRETARIA EXECUTIVA DE SERVIÇOS URBANOS - SEMSUR;Água e Esgoto | Res. Sólidos;;280.314;255.959;262.780;108.848;;38,09;100,00;42,52;
;240800;Mossoró;RN;2012;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24080040] SECRETARIA DE SERVIÇOS URBANOS - SEMSUR;Água e Esgoto | Res. Sólidos;;266.758;243.581;251.138;106.938;;37,66;100,00;43,90;
;240800;Mossoró;RN;2011;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24080040] SECRETARIA DE SERVIÇOS URBANOS - SEMSUR;Água e Esgoto | Res. Sólidos;;263.344;240.463;238.214;91.963;;30,59;100,00;38,24;
;240800;Mossoró;RN;2010;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24080040] SECRETARIA DE SERVIÇOS URBANOS - SEMSUR;Água e Esgoto | Res. Sólidos;;259.815;237.241;221.043;84.239;;34,38;100,00;35,51;
;240800;Mossoró;RN;2009;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24080040] SECRETARIA DE SERVIÇOS URBANOS - SEMSUR;Água e Esgoto | Res. Sólidos;;244.287;223.284;218.750;83.812;;;100,00;37,54;
;240800;Mossoró;RN;2008;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24080040] SECRETARIA DE SERVIÇOS URBANOS - SEMSUR;Água e Esgoto | Res. Sólidos;;241.645;220.869;214.471;75.459;238.225;;100,00;34,16;
;240800;Mossoró;RN;2007;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24080040] SECRETARIA DE SERVIÇOS URBANOS - SEMSUR;Água e Esgoto | Res. Sólidos;;234.390;214.238;207.425;60.551;229.925;24,86;100,00;28,26;
;240800;Mossoró;RN;2006;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24080040] SECRETARIA DE SERVIÇOS URBANOS - SEMSUR;Água e Esgoto | Res. Sólidos;;229.787;213.926;217.966;54.815;226.914;22,96;100,00;25,62;
;240800;Mossoró;RN;2005;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24080040] SECRETARIA DE SERVIÇOS URBANOS - SEMSUR;Água e Esgoto | Res. Sólidos;;227.357;211.664;205.738;52.142;224.446;23,47;100,00;24,63;
;240800;Mossoró;RN;2004;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24080040] SECRETARIA DE SERVIÇOS URBANOS - SEMSUR;Água e Esgoto | Res. Sólidos;;224.910;209.386;201.585;43.811;163.860;20,50;100,00;20,92;
;240800;Mossoró;RN;2003;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24080040] SECRETARIA DE SERVIÇOS URBANOS - SEMSUR;Água e Esgoto | Res. Sólidos;;220.487;205.268;202.552;41.747;213.841;;100,00;20,34;
2408102;240810;Natal;RN;2022;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24081040] COMPANHIA DE SERVIÇOS URBANOS DE NATAL - URBANA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Sociedade de economia mista com administração pública;751.300;;690.187;404.126;;55,05;91,18;;
2408102;240810;Natal;RN;2021;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24081040] COMPANHIA DE SERVIÇOS URBANOS DE NATAL - URBANA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Sociedade de economia mista com administração pública;896.708;896.708;846.550;392.610;;57,95;100,00;43,78;
2408102;240810;Natal;RN;2020;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24081040] COMPANHIA DE SERVIÇOS URBANOS DE NATAL - URBANA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Sociedade de economia mista com administração pública;890.480;890.480;854.563;385.343;;55,07;100,00;43,27;
2408102;240810;Natal;RN;2019;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24081040] COMPANHIA DE SERVIÇOS URBANOS DE NATAL - URBANA;Água e Esgoto | Res. Sólidos;Sociedade de economia mista com administração pública | Sociedade de economia mista com administração pública;884.122;884.122;854.347;377.092;;54,82;100,00;42,65;
;240810;Natal;RN;2018;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24081040] COMPANHIA DE SERVIÇOS URBANOS DE NATAL - URBANA;Água e Esgoto | Res. Sólidos;;877.640;877.640;852.972;343.019;;50,31;100,00;39,08;
;240810;Natal;RN;2017;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24081040] COMPANHIA DE SERVIÇOS URBANOS DE NATAL - URBANA;Água e Esgoto | Res. Sólidos;;885.180;885.180;829.073;325.550;;41,53;100,00;36,78;
;240810;Natal;RN;2016;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24081040] COMPANHIA DE SERVIÇOS URBANOS DE NATAL - URBANA;Água e Esgoto | Res. Sólidos;;877.662;877.662;804.086;335.026;;39,83;72,80;38,17;
;240810;Natal;RN;2015;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24081040] COMPANHIA DE SERVIÇOS URBANOS DE NATAL - URBANA;Água e Esgoto | Res. Sólidos;;869.954;869.954;825.384;326.907;;37,31;72,80;37,58;
;240810;Natal;RN;2014;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24081040] COMPANHIA DE SERVIÇOS URBANOS DE NATAL - URBANA;Água e Esgoto | Res. Sólidos;;862.044;862.044;816.724;304.817;;35,74;72,80;35,36;
;240810;Natal;RN;2013;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24081040] COMPANHIA DE SERVIÇOS URBANOS DE NATAL - URBANA;Água e Esgoto | Res. Sólidos;;853.928;853.928;809.455;303.950;;37,55;72,80;35,59;
;240810;Natal;RN;2012;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24081040] COMPANHIA DE SERVIÇOS URBANOS DE NATAL - URBANA;Água e Esgoto | Res. Sólidos;;817.590;817.590;772.694;306.534;;36,90;72,80;37,49;
;240810;Natal;RN;2011;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24081040] COMPANHIA DE SERVIÇOS URBANOS DE NATAL - URBANA;Água e Esgoto | Res. Sólidos;;810.780;810.780;735.836;268.234;;61,35;72,80;33,08;
;240810;Natal;RN;2010;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24081040] COMPANHIA DE SERVIÇOS URBANOS DE NATAL - URBANA;Água e Esgoto | Res. Sólidos;;803.739;803.739;721.191;263.976;;35,58;47,58;32,84;
;240810;Natal;RN;2009;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24081040] COMPANHIA DE SERVIÇOS URBANOS DE NATAL - URBANA;Água e Esgoto | Res. Sólidos;;806.203;806.203;743.031;256.140;;;47,58;31,77;
;240810;Natal;RN;2008;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24081040] COMPANHIA DE SERVIÇOS URBANOS DE NATAL - URBANA;Água e Esgoto | Res. Sólidos;;798.065;798.065;720.098;250.218;778.991;;100,00;31,35;
;240810;Natal;RN;2007;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24081040] COMPANHIA DE SERVIÇOS URBANOS DE NATAL - URBANA;Água e Esgoto | Res. Sólidos;;774.230;774.230;706.610;243.970;771.017;34,71;47,58;31,51;
;240810;Natal;RN;2006;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24081040] COMPANHIA DE SERVIÇOS URBANOS DE NATAL - URBANA;Água e Esgoto | Res. Sólidos;;789.896;789.896;784.118;258.947;771.017;30,95;47,58;32,78;
;240810;Natal;RN;2005;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24081040] COMPANHIA DE SERVIÇOS URBANOS DE NATAL - URBANA;Água e Esgoto | Res. Sólidos;;778.040;778.040;753.272;254.769;759.445;32,92;47,58;32,74;
;240810;Natal;RN;2004;[24081000] Companhia de Águas e Esgotos do Rio Grande do Norte - CAERN | [24081040] COMPANHIA DE SERVIÇOS URBANOS DE NATAL - URBANA;Água e Esgoto | Res. Sólidos;;766.081;766.081;735.696;246.613;747.772;32,38;47,58;32,19;
